"node.id","indegree","outdegree","centrality","closeness","pagerank","is.conn","clust"
"Num:AR:ML:C2:MC2",10,10,74.1666666666667,0,0.0012783602297161,0,0.0888888888888889
"Num:AR:NS:C12",4,4,44,0,0.000863836312182812,0,0.166666666666667
"Num:AR:MS:C4:MC3:MS110",2,2,0,0,0.000799877175661508,0,0
"Num:AR:NS:C2:MC1:NS042",1,1,0,0,0.000749336309597936,0,NA
"Num:AR:FC:C22",8,8,85.8333333333333,0,0.000870239815113265,0,0.285714285714286
"Num:AR:NS:C7:MC6",10,10,52,0,0.000856906744344436,0,0.0222222222222222
"Num:AR:TI:C1:MC1:TI040",1,1,0,0,0.000723983390206914,0,NA
"Num:GE:GI:C1:MC1:GI067",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:AT:C2:MC0:AT003",1,1,0,0,0.000780186524355731,0,NA
"Num:AR:TI:C9:MC8:TI086",1,1,0,0,0.00152167629226473,0,NA
"Num:MH002",1,1,0,0,0.000741812474321289,0,NA
"Num:GE:GI:C1:MC1:GI040",1,1,0,0,0.000735532487997495,0,NA
"Num:AR:SB:C4:MC4:SB019",1,1,0,0,0.000830369274551136,0,NA
"Num:AR:DI:C9:MC9:DI012",1,1,0,0,0.00109902831377427,0,NA
"Num:AR:MS:C4:MC4:MS045",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:FC:C6:MC3:FC020",1,1,0,0,0.000814965226724203,0,NA
"Num:AR:AT:C6:MC5",4,4,10,0,0.00121705982713105,0,0
"Num:GE:PS:C2:MC2:PS089",1,1,0,0,0.000770960750929987,0,NA
"Num:AR:AT:C6:MC6:AT025",1,1,0,0,0.000778928816339996,0,NA
"Num:AR:CP:C1:MC0:CP020",1,1,0,0,0.000879288808245456,0,NA
"Num:AR:NS:C7:MC6:NS095",1,1,0,0,0.000790398169229562,0,NA
"Num:AR:TI:C0:MC0:TI091",1,1,0,0,0.000789111344811852,0,NA
"Num:GE:GI:C0:MC0:GI039",1,1,0,0,0.000766293188745355,0,NA
"Num:AR:MS:C2:MC1:MS024",1,1,0,0,0.000753314093787171,0,NA
"Num:AR:FC:C6:MC6:FC082",1,1,0,0,0.000985992670659828,0,NA
"Num:AR:MS:C4:MC4:MS044",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:NS:C2:MC0:NS017",1,1,0,0,0.000726273451676164,0,NA
"Num:GE:TS:C2",4,4,123.5,0,0.00169844350660988,0,0.333333333333333
"Num:GE:PS:C2:MC2:PS082",1,1,0,0,0.000770960750929987,0,NA
"Num:GE:GI:C0:MC0:GI033",1,1,0,0,0.000766293188745355,0,NA
"Num:AR:NS:C5:MC3:NS204",1,1,0,0,0.000770070884310876,0,NA
"Num:AR:DI:C5:MC5:DI033",1,1,0,0,0.000801770797555593,0,NA
"Num:AR:AT:C13",4,4,17.4039682539683,0,0.00118600558043971,0,0.333333333333333
"Num:AR:SB:C4",4,4,54.7071428571429,0,0.00103411759584303,0,0.333333333333333
"Num:AR:FC:C12:MC12:FC064",1,1,0,0,0.00105903707003858,0,NA
"Num:AR:FC:C22:MC21:FC110",1,1,0,0,0.00098783579803772,0,NA
"Num:AR:MS:C2:MC2:MS009",1,1,0,0,0.00080072039356327,0,NA
"Num:AR:MS:C4:MC4:MS101",1,1,0,0,0.000716028300879365,0,NA
"Num:AR:MS:C4:MC3:MS065",1,1,0,0,0.000745135122858144,0,NA
"Num:AR:NS:C2:MC2:NS110",1,1,0,0,0.000941646443941744,0,NA
"Num:AR:MO:C2:MC2",5,5,31.2,0,0.00128447777671372,0,0
"Num:AR:DI:C15:MC13",4,4,37.2,0,0.00122084132618686,0,0.333333333333333
"Num:AR:NS:C16:MC16",8,8,66,0,0.00109002488973283,0,0.0357142857142857
