Word,PoS,Theme,Category
stop,verb,,Action/Event
street,noun,Common Places,Thing
student,noun,School Things,Person
Sun,noun,Nature,Thing
Sunny,adjective,Weather,Quality
surprise,noun,Feelings,Quality
switch,noun,Household Items,Thing
Table ,noun,School Things,Thing
take,,,Action/Event
talk,verb,,Action/Event
tall,adjective,Height,Quality
tap,noun,Household Items,Thing
teacher,noun,School Things,Thing
Teeth,noun,Body Parts,Thing
tell,,,Action/Event
temple,noun,Common Places,Place
ten,noun,Numbers,Numeral/Time
terrace,noun,Household Items,Thing
textbook,noun,Stationery,Thing
thank,,,Action/Event
that,,,Grammatical Word
the,article,,Grammatical Word
their,,,Grammatical Word
then,,,Grammatical Word
there,,,Grammatical Word
these,,,Grammatical Word
they,pronoun,,Person
they,,,Grammatical Word
thick,adjective,,Quality
thin,adjective,,Quality
think,verb,,Action/Event
think,,,Action/Event
this,pronoun,,Grammatical Word
those,,,Grammatical Word
Three,noun,Numbers,Numeral/Time
tiger,noun,Animals,Thing
to ,adverb,,Grammatical Word
today,,,Numeral/Time
Toes,noun,Body Parts,Thing
together,,,Grammatical Word
Tomato,noun,Fruits,Thing
Tongue,noun,Body Parts,Thing
too,adverb,,Grammatical Word
touch,verb,,Action/Event
Tree,noun,Plants and Trees,Thing
truck,noun,Vehicles,Thing
try,,,Action/Event
turban,noun,Clothes,Thing
turnip,noun,Vegetables,Thing
turtle,noun,Animals,Thing
Two,noun,Numbers,Numeral/Time
under,preposition,,Grammatical Word
uniform,noun,School Things,Thing
up,adjective,Direction,Place
up,adverb,,Grammatical Word
upon,,,Grammatical Word
us,,,Grammatical Word
use,,,Action/Event
utensil,noun,Household Items,Thing
very,,,Grammatical Word
walk,verb,,Action/Event
walk,verb,,Action/Event
want,,,Grammatical Word
warm,,,Quality
was,verb,,Action/Event
wash,verb,,Action/Event
wash,,,Action/Event
Water,noun,Food,Thing
watermelon,noun,Fruits,Thing
we,pronoun,,Grammatical Word
well,,,Quality
went,,,Grammatical Word
were,,,Grammatical Word
Wet,adjective,,Quality
what,pronoun,interrogative,Grammatical Word
when,pronoun,interrogative,Grammatical Word
when,,,Grammatical Word
where,pronoun,interrogative,Grammatical Word
where,,,Place
which,pronoun,interrogative,Grammatical Word
which,,,Grammatical Word
White,noun,Color,Quality
white,,,Quality
who,pronoun,interrogative,Grammatical Word
why,,,Grammatical Word
will,verb,,Grammatical Word
window,noun,Household Items,Thing
wish,,,Grammatical Word
with,,,Grammatical Word
wolf,noun,Animals,Thing
Woman,noun,,Person
Women,noun,,Person
work,,,Grammatical Word
worry,noun,Feelings,Quality
would,,,Grammatical Word
write,,,Action/Event
Yellow,noun,Color,Quality
yes,noun,,Grammatical Word
you,pronoun,,Grammatical Word
you ,pronoun,,Person
your,pronoun,,Grammatical Word
